"gim_event_type_code","gim_event_class","gim_event_category","gim_event_subcategory","gim_event_type"
000000,"","message","message.log_message","message"
100000,"","authentication","authentication.logon","logon"
100003,"","authentication","authentication.logon","logon with alternate credentials"
100004,"","authentication","authentication.logon","session reconnect"
100500,"","authentication","authentication.credential validation","credential validation"
100501,"","authentication","authentication.credential validation","error"
100502,"","authentication","authentication.credential validation","mfa"
100503,"","authentication","authentication.credential validation","sms_send_message"
100504,"","authentication","authentication.credential validation","voice_call"
101000,"","authentication","authentication.access notice","special logon"
101001,"","authentication","authentication.access notice","error"
101500,"","authentication","authentication.access policy","access policy violation"
101501,"","authentication","authentication.access policy","device policy violation"
101502,"","authentication","authentication.access policy","account policy violation"
102000,"","authentication","authentication.kerberos request","service ticket renewed"
102001,"","authentication","authentication.kerberos request","service ticket requested"
102002,"","authentication","authentication.kerberos request","tgt request"
102003,"","authentication","authentication.kerberos request","error"
102500,"","authentication","authentication.logoff","logoff"
102501,"","authentication","authentication.logoff","session disconnect"
109999,"","authentication","authentication.default","authentication message"
110000,"","iam","iam.object create","account created"
110001,"","iam","iam.object create","error"
110002,"","iam","iam.object create","group created"
110500,"","iam","iam.object delete","account deleted"
110501,"","iam","iam.object delete","group deleted"
111000,"","iam","iam.object modify","account modified"
111001,"","iam","iam.object modify","privileges assigned"
111002,"","iam","iam.object modify","privileges removed"
111003,"","iam","iam.object modify","account renamed"
111004,"","iam","iam.object modify","password change"
111005,"","iam","iam.object modify","administrative password reset"
111006,"","iam","iam.object modify","error"
111007,"","iam","iam.object modify","group member added"
111008,"","iam","iam.object modify","group member removed"
111009,"","iam","iam.object modify","group properties modified"
111500,"","iam","iam.object disable","account locked"
111501,"","iam","iam.object disable","account disabled"
112000,"","iam","iam.object enable","account unlocked"
112001,"","iam","iam.object enable","account enabled"
112002,"","iam","iam.object enable","error"
119500,"","iam","iam.information","group membership enumerated"
119999,"","iam","iam.default","iam message"
120000,"","network","network.network connection","network connection"
120100,"","network","network.routing","network routing"
120200,"","network","network.open","network connection initiated"
120300,"","network","network.close","network connection ended"
120500,"","network","network.flow","flow record"
120600,"","network","network.icmp_request","icmp_request"
120700,"","network","network.icmp_reply","icmp_reply"
129999,"","network","network.default","network message"
130000,"","messaging","messaging.email","email sent"
130500,"","messaging","messaging.email","email blocked"
131000,"","messaging","messaging.email","email rejected"
131500,"","messaging","messaging.email","email quarantined"
132000,"","messaging","messaging.email","email deleted"
139999,"","messaging","messaging.default","message"
140000,"protocol","name resolution","name resolution.dns request","dns query"
140200,"protocol","name resolution","name resolution.dns answer","dns response"
140300,"protocol","name resolution","name resolution.error","dns error"
140500,"protocol","name resolution","name resolution.ddns update","ddns update"
149999,"protocol","name resolution","name resolution.default","dns message"
150000,"","database","database.query","database query"
